pos_b37	PP4_colocR	diagABF_nosso
181028481	9.71840044981574e-51	1.35951648893891e-42
181028733	2.67214912537555e-36	8.10966487281965e-29
181029053	2.37262071049086e-36	7.03792314056155e-29
181029805	1.37049970224715e-49	7.86212261806067e-40
181029857	9.11242977497814e-50	1.42438979971651e-40
181030115	2.72237469576274e-36	7.87343769102687e-29
181030499	1.62552806643356e-32	4.1039394254845e-26
181030785	1.54746221982003e-51	3.93337999872562e-42
181031172	7.0837656765437e-32	1.09597533194126e-25
181031212	3.41556914286796e-36	1.03431557505167e-28
181031783	2.63706833560957e-40	5.76743479967609e-32
181031797	2.21288985196306e-31	3.61350150589383e-25
181031861	1.98848370454194e-51	5.73913408222674e-42
181032305	1.45656591686212e-51	4.1692511138885e-42
181032603	1.19657852637158e-49	7.41994800105502e-40
181033352	1.20213452427889e-51	3.87989435087793e-42
181033492	1.44207649733904e-51	4.03234110521301e-42
181033591	2.39813877623954e-48	3.59022058349505e-40
181033697	2.3742518585608e-32	4.70343356805615e-26
181034172	9.57418525539671e-51	1.37559227947031e-42
181034906	2.4999945446542e-51	5.34281782130934e-41
181035321	2.42825625781351e-48	1.70150011877549e-40
181035338	8.45499837366136e-49	2.33877831996453e-40
181035433	9.58161604528516e-51	1.37555741523206e-42
181035750	1.41671944982254e-51	3.99958692087154e-42
181035754	1.28799385633627e-47	5.36139385962628e-38
181035858	8.43791594308682e-49	2.33743057619633e-40
181035859	2.24181092056602e-51	4.99065310817365e-41
181035863	2.06915104744192e-48	2.45250096299003e-38
181035966	1.41944959419162e-51	4.00389963736176e-42
181035999	1.22388002149585e-48	1.66328261247141e-38
181036086	2.22418471725189e-51	4.96526252234908e-41
181036209	7.32172211102421e-48	3.55527564726247e-38
181036761	7.38386794449467e-48	3.58015384296547e-38
181036921	2.44769957421774e-49	1.48100382767406e-40
181036978	2.23691676442927e-51	4.98370572843047e-41
181037127	2.44804540004774e-49	1.48329453926328e-40
181037478	4.67708847542419e-48	4.78251927016819e-40
181037518	9.66249764446285e-51	1.37610752885981e-42
181037537	2.30963790902542e-51	5.08958284936116e-41
181037857	2.62661574060226e-49	1.5314499036442e-40
181038086	2.31614972911438e-51	5.09499881763315e-41
181038228	4.51039666793007e-48	1.93811983419646e-40
181038466	8.31617464519897e-48	3.91965037583309e-38
181038722	1.40327778868392e-51	3.66355641771673e-42
181038753	8.26356042473707e-48	3.90400661754107e-38
181039039	8.23056196082549e-48	3.97651632251399e-38
181039384	9.60388357162156e-51	1.37846919744743e-42
181039528	2.46910088450065e-48	1.72351610800566e-40
181039609	8.26361977070409e-48	3.9046374855816e-38
181039628	7.74985761872273e-35	4.89859194942398e-28
181039716	8.58248918871033e-48	4.07386364192387e-38
181039944	9.6115717791809e-51	1.37913227376657e-42
181040588	1.43645083309298e-36	3.11789192175414e-29
181040710	9.62253463662927e-51	1.37911157377539e-42
181040717	8.33963312422862e-48	3.92706662728774e-38
181041353	1.15875320375706e-51	1.3093004818963e-42
181041461	1.28940652386826e-51	3.90718782471665e-42
181041664	3.19048892311552e-52	3.66881254477267e-42
181041691	8.29999476512451e-48	3.90987263495346e-38
181042361	2.00196906814401e-36	3.88348656127467e-29
181042659	9.61788477909968e-51	1.37860706384525e-42
181042809	2.37884258872226e-51	3.76567976409955e-42
181042889	1.571193020108e-48	1.95883606432613e-38
181042907	2.36029155129188e-51	3.75841359251323e-42
181042998	8.31360689964232e-51	3.77208180233456e-42
181043288	3.91752785301371e-52	5.35192302166312e-42
181044272	8.19868186978596e-48	3.92780059891692e-38
181044520	9.28536339149054e-49	1.32882115305502e-38
181044531	2.33817092477974e-51	3.75208970494467e-42
181044717	9.6684165318357e-51	1.37942085102621e-42
181045216	9.64917541296698e-51	1.37925803010869e-42
181045233	1.21380731261727e-51	3.84375690610878e-42
181045347	1.09660384771738e-50	7.98569011688432e-42
181045375	8.05849910756004e-48	3.80429943724365e-38
181045421	1.00913728479233e-49	2.72809967426322e-40
181045443	2.98172545957525e-51	6.08936434979315e-41
181046368	6.42712937110073e-49	1.00043631237803e-38
181046760	1.23409500011492e-51	4.59193103744131e-42
181047780	5.82917165799675e-51	9.44920798656155e-41
181047836	8.77996432448673e-47	4.47218663807186e-37
181048090	4.91526740789437e-51	9.14061454348429e-41
181049375	4.69444499194777e-45	1.23546014622991e-35
181049399	7.38777295111033e-49	3.68837578463258e-41
181049418	5.43961729808925e-45	1.4207909106168e-35
181049600	3.54859462043358e-49	1.01152874301494e-40
181050713	6.87328097756853e-48	5.90946533537182e-38
181051859	4.71370224165386e-45	1.23871832854371e-35
181052800	1.4937454836468e-48	1.36959717855266e-38
181054159	3.62591400019377e-51	2.43695308189403e-42
181054301	8.22981033871881e-51	2.84200702463623e-42
181054522	3.8351711701779e-47	2.29823877109384e-37
181056048	8.38028718023876e-51	2.84803969343425e-42
181056160	1.30695868477266e-48	1.26790221607291e-38
181057188	1.11382409334493e-35	1.38238508198515e-28
181058313	5.28873698148954e-48	4.73081792798088e-38
181058345	8.39827797421424e-51	2.84538560383184e-42
181058540	1.57896326043551e-50	2.63118850992508e-41
181058618	5.97241312308556e-48	5.18474611316189e-38
181058891	3.04466874728849e-48	1.50740205559368e-40
181060231	4.96123786675417e-51	8.84106795145278e-41
181060791	7.70877733409365e-36	1.09346628716761e-28
181061916	3.94585551358825e-35	2.4018495847433e-28
181062024	4.74874809640039e-51	8.43220806760608e-41
181062733	5.0363636256518e-51	3.36761382011118e-41
181063510	7.07959535227266e-50	4.74389354762649e-41
181064054	9.72578494967898e-48	7.35141178846486e-38
181064226	7.62524797389865e-50	4.75540895310477e-41
181065976	1.46191388300214e-51	3.54689021941865e-42
181067536	4.37019214676881e-50	3.39130950287605e-41
181067750	1.35598487401706e-44	2.41100528779973e-35
181067916	1.7314318137851e-51	4.3269983188014e-41
181068402	1.32237071103561e-37	4.31650454593651e-30
181068750	2.41444537972371e-51	3.70675284135801e-42
181068916	3.34002924382416e-51	6.2671879432739e-41
181069621	4.56684042811781e-51	6.85841214725106e-42
181069951	1.77443471950992e-50	3.13456185360969e-42
181070113	1.66657125438675e-52	7.41222714657015e-42
181071651	1.96181612266221e-51	5.43369252877728e-42
181071661	1.9066516936178e-52	7.88085705290929e-42
181072548	1.50690740240485e-50	8.8480692800727e-42
181073165	1.5057593672377e-50	8.84605138450271e-42
181073401	1.86268779462027e-51	7.43425029197143e-42
181074884	1.36374063213658e-51	2.95982033968924e-41
181074911	3.31182175823343e-52	4.45892801096695e-42
181075465	8.40053081604897e-52	1.33399970560651e-42
181077291	7.56146655378807e-52	1.90388433785591e-42
181077476	3.31193198197841e-52	4.46273047746954e-42
181077609	3.31174101837951e-52	4.46211112638444e-42
181078071	7.63796884523141e-52	1.91109788589788e-42
181078868	2.69459070048718e-52	1.0191667040231e-41
181078869	2.68802906628222e-52	1.01800341490995e-41
181079135	2.66133110501018e-52	1.01382789417169e-41
181079314	2.57291667981563e-49	3.34354693897995e-40
181079712	3.03321318527182e-52	1.1095728578728e-41
181080987	3.1212775798187e-51	1.30936787414315e-41
181081579	4.56223263131955e-51	7.04144151265082e-42
181081874	3.31475882874235e-52	4.45906709319734e-42
181082399	1.75382870145876e-50	9.20986408082876e-42
181082795	3.31742755453144e-52	4.45872048018918e-42
181082913	1.76338476727643e-50	9.22499547319627e-42
181082984	3.05705260269648e-51	3.91442079926531e-42
181083868	3.34030429800926e-52	4.46289209604381e-42
181084058	3.34062220584638e-52	4.46280134149133e-42
181084128	1.92746572722686e-50	9.46357232151257e-42
181084218	1.55228567046155e-50	2.97754801598189e-41
181084396	2.50731522776616e-52	9.91528806681981e-42
181084471	5.0969729950464e-51	5.03919332375165e-42
181085009	2.40725675573875e-52	9.57025628741008e-42
181085358	2.96258191454502e-52	1.02181090415617e-41
181085530	3.34338771324851e-52	4.4622259010704e-42
181086599	3.0886569102441e-48	2.37242671779743e-38
181086687	3.15847440876937e-47	1.76580332419461e-37
181088070	3.35974458667216e-52	4.46466442311227e-42
181089601	4.77640841401957e-52	1.60846855836253e-41
181089709	1.23761033981096e-50	4.89089350623822e-41
181090468	5.75184135124744e-52	3.72515545377207e-42
181091097	2.99906288678211e-51	3.82400152726193e-42
181091772	5.847348274563e-52	3.74351232048438e-42
181091941	5.85947010052896e-52	3.74673470584299e-42
181091971	4.44524686745844e-51	1.01760760886973e-41
181093594	5.07183795079591e-51	1.24344256930794e-40
181094881	1.29446395699077e-50	3.20617984154001e-41
181095337	1.76431997548575e-50	3.99034834591577e-40
181095387	1.75792934819169e-50	3.97698551013533e-40
181095394	1.72143101599827e-50	3.9255077899583e-40
181095552	1.71103147602942e-50	3.96182823987709e-40
181095591	1.67843693323673e-50	3.83860101231872e-40
181095779	2.72590032696344e-50	5.28248006592331e-40
181096198	1.79434123422307e-49	1.45859749734557e-39
181096375	1.93461301353003e-49	1.5105994124234e-39
181096761	1.963876131478e-49	1.51126972588824e-39
181096855	2.02803686540614e-49	1.55023219402873e-39
181096914	1.88308886457655e-50	4.14503636290276e-40
181097607	6.15438362259541e-52	3.73812514181071e-42
181097704	2.27638642257883e-50	4.46472683295194e-40
181097802	2.56336003675612e-50	3.49450718490857e-40
181097917	1.26933852392289e-50	3.06839623453438e-41
181099138	1.47917590938455e-50	3.19361471118076e-40
181099501	6.60229147272498e-50	1.22715873079119e-41
181099586	2.70379648230967e-52	8.20294269144028e-42
